stationid,stationname,masterid,latitude,longitude,huc,county,smcshed,taxon
412WE0552,Arroyo Seco Creek ~2.1 miles upstream from Gould Mesa Campgroud.,412WE0552,34.23908,-118.18059,412,Los Angeles,Los Angeles,
SMC00520,,SMC00520,34.29626,-118.28252,412,Los Angeles,Los Angeles,Other fish
412CE0616,Los Angeles River above Moorpark St.,412CE0616,34.15397,-118.42994,412,Los Angeles,Los Angeles,
404R4S015,404R4S015,SMC03944,34.14255,-118.75224,404,Ventura,Santa Monica Bay,
412M08597,Los Angeles River,412M08597,34.15524,-118.43907,412,Los Angeles,Los Angeles,Trachemys spp
412CE0232,Los Angeles River ~0.4mi above Hwy 101,412CE0232,34.15907,-118.45624,412,Los Angeles,Los Angeles,Gambusia affinis
SMC00271,,403S00271,34.5485,-119.16547,403,Ventura,Santa Clara,
402M00002,Ventura River S of Shell Road,402M00002,34.31063,-119.29916,402,Ventura,Ventura,Procambarus clarkii
402M00002,Ventura River S of Shell Road,402M00002,34.31063,-119.29916,402,Ventura,Ventura,Gambusia affinis
408M03019,Arroyo Las Posas - nr MPK WWTP,408M03019,34.26742,-118.94037,408,Ventura,Calleguas,Gambusia affinis
SMC00660,,408BA0660,34.26784,-118.93781,408,Ventura,Calleguas,Gambusia affinis
404M04532,Lindero Ck d/s Rockfield St,404M04532,34.1744,-118.78748,404,Ventura,Santa Monica Bay,Procambarus clarkii
SMC00027,,403BA0027,34.66254,-119.05249,403,Ventura,Santa Clara,
906M23302,Tecolote Creek,906M23302,32.81736,-117.19986,906,San Diego,Mission Bay and San Diego River,Xenopus laevis
402M00009,Coyote Ck u/s stream gauge,402M00009,34.41824,-119.37505,402,Ventura,Ventura,Pacifastacus lenisculus
403M01505,Sespe Creek nr Jepson Wash,403M01505,34.41709,-118.92546,403,Ventura,Santa Clara,Lithobates catesbeianus
403M01505,Sespe Creek nr Jepson Wash,403M01505,34.41709,-118.92546,403,Ventura,Santa Clara,Other fish
ME-CC,,ME-CC,34.17912,-119.03968,408,Ventura,Calleguas,Gambusia affinis
ME-CC,,ME-CC,34.17912,-119.03968,408,Ventura,Calleguas,Cyprinus carpio
407M01516,Arundell Barranca u/s Harbor Blvd,407M01516,34.25539,-119.25498,407,Ventura,Santa Clara,
SMC00836,,408BA0836,34.19071,-119.00511,408,Ventura,Calleguas,Other amphibian
SMC00836,,408BA0836,34.19071,-119.00511,408,Ventura,Calleguas,Procambarus clarkii
SMC00836,,408BA0836,34.19071,-119.00511,408,Ventura,Calleguas,Gambusia affinis
SMC00324,,ME-SCR,34.30063,-119.1097,403,Ventura,Santa Clara,Procambarus clarkii
SMC00324,,ME-SCR,34.30063,-119.1097,403,Ventura,Santa Clara,Gambusia affinis
403M01506,Santa Clara River u/s Torrey Rd,403M01506,34.39739,-118.79347,403,Ventura,Santa Clara,Other amphibian
403M01506,Santa Clara River u/s Torrey Rd,403M01506,34.39739,-118.79347,403,Ventura,Santa Clara,Gambusia affinis
